id,const_anon_id,response_auto_and_manual,manualresponse_exists_inc_post_count_nonresponse,manualresponse_exists,partycongruent,partycongruent_neat,issue,position,send_cat,mp_type_detailed,mp_type_abstain_nonreb,diff_mp_party_outliers_removed,diff_mp_party,has_response_info,respondent_reported_letter_status,lr_mp_party,word_total
291,13,TRUE,1,1,0,Constituent-party not congruent,skilled,disagree,beyond 6,loyalist,loyalist,0.03157894736842105,0.03157894736842105,0,NA,1.3862943611198906,190
306,14,TRUE,1,1,0,Constituent-party not congruent,secondr,agree,2-6,loyalist,loyalist,NA,-0.07777777777777778,0,NA,-1.5040773967762742,360
306,14,TRUE,1,1,1,Constituent-party congruent,immigration,disagree,2-6,loyalist,loyalist,-0.01977401129943503,-0.01977401129943503,0,NA,-0.49247648509779407,354
306,14,TRUE,1,1,0,Constituent-party not congruent,skilled,agree,2-6,loyalist,loyalist,-0.039603960396039584,-0.039603960396039584,0,NA,-0.2363887780642304,101
320,14,FALSE,0,0,1,Constituent-party congruent,secondr,disagree,1,loyalist,loyalist,NA,NA,0,NA,NA,NA
320,14,FALSE,0,0,0,Constituent-party not congruent,immigration,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
320,14,FALSE,0,0,1,Constituent-party congruent,skilled,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
275,15,FALSE,0,0,0,Constituent-party not congruent,secondr,agree,1,extreme rebel,rebel,NA,NA,0,NA,NA,NA
275,15,FALSE,0,0,0,Constituent-party not congruent,freedomm,agree,2-6,extreme rebel,rebel,NA,NA,0,NA,NA,NA
275,15,FALSE,0,0,0,Constituent-party not congruent,regulation,agree,2-6,unclear rebel,loyalist,NA,NA,0,NA,NA,NA
285,15,FALSE,0,0,1,Constituent-party congruent,regulation,disagree,2-6,unclear rebel,loyalist,NA,NA,0,NA,NA,NA
285,15,FALSE,0,0,1,Constituent-party congruent,immigration,disagree,beyond 6,loyalist,loyalist,NA,NA,0,NA,NA,NA
324,15,FALSE,0,0,1,Constituent-party congruent,freedomm,disagree,2-6,extreme rebel,rebel,NA,NA,0,NA,NA,NA
324,15,FALSE,0,0,0,Constituent-party not congruent,immigration,agree,beyond 6,loyalist,loyalist,NA,NA,0,NA,NA,NA
324,15,FALSE,0,0,1,Constituent-party congruent,tuitionlevel,disagree,beyond 6,loyalist,loyalist,NA,NA,0,NA,NA,NA
327,15,FALSE,0,0,1,Constituent-party congruent,secondr,disagree,2-6,extreme rebel,rebel,NA,NA,0,NA,NA,NA
327,15,FALSE,0,0,0,Constituent-party not congruent,tuitionlevel,agree,beyond 6,loyalist,loyalist,NA,NA,0,NA,NA,NA
230,16,TRUE,1,1,0,Constituent-party not congruent,secondr,agree,2-6,moderate rebel,rebel,0.041666666666666664,0.041666666666666664,0,NA,1.3862943611198906,216
240,16,TRUE,1,1,1,Constituent-party congruent,secondr,disagree,1,moderate rebel,rebel,NA,0.8461538461538461,1,0,1.540445040947149,13
321,16,TRUE,1,1,0,Constituent-party not congruent,tuitionfree,disagree,2-6,loyalist,loyalist,0.06,0.06,1,0,1.3862943611198906,50
330,16,TRUE,1,1,1,Constituent-party congruent,tuitionfree,agree,2-6,loyalist,loyalist,0,0,0,NA,0,9
111,17,TRUE,1,1,1,Constituent-party congruent,regulation,disagree,2-6,loyalist,loyalist,-0.026315789473684213,-0.026315789473684213,0,NA,-1.8718021769015913,418
111,17,TRUE,1,1,1,Constituent-party congruent,immigration,disagree,beyond 6,loyalist,loyalist,-0.026315789473684213,-0.026315789473684213,0,NA,-1.8718021769015913,418
