Winner17,leaveHanretty,Majority17,c11Degree,mp_first_start,frontbench,in_experiment,in_experimentn,Region
1,51.85508645,19.446460540959016,15.004413062665488,2015-05-08,FALSE,Excluded (no letters),Excluded,10
2,42.88758826,53.535643261434906,22.7068842228434,2005-05-05,TRUE,Excluded (no letters),Excluded,7
2,42.61175105,30.22641910566225,24.716400042479652,1997-05-01,TRUE,Excluded (no letters),Excluded,7
2,43.30890315,19.766668289279398,34.21462196176386,2015-05-08,FALSE,Excluded (no letters),Excluded,7
1,61.18928689999999,45.36382536382536,16.772826573316138,2017-06-09,FALSE,Included (letters sent),Included,6
2,50.27662392,10.865795861750087,14.28593186006488,2005-05-05,FALSE,Excluded (no letters),Excluded,10
1,62.06398322,26.512434139392795,10.131978774547598,2001-06-07,FALSE,Included (letters sent),Included,9
1,66.22691693,27.438577801451498,9.665526522372996,2010-05-06,FALSE,Excluded (no letters),Excluded,3
2,43.5923134,20.054057349564086,18.32755067435369,2017-06-09,FALSE,Included (letters sent),Included,8
7,25.9335501,25.48061088286789,32.39382019269141,2010-05-06,FALSE,Included (letters sent),Included,8
2,46.795271830000004,26.366660761038602,14.363888636746761,2005-05-05,FALSE,Excluded (no letters),Excluded,9
2,38.85281199,8.801020408163266,22.42806757007611,2017-06-09,FALSE,Excluded (no letters),Excluded,9
2,47.95283789,29.397594792394543,17.2730009494477,2015-05-08,FALSE,Excluded (no letters),Excluded,9
2,20.71150843,52.139425762484635,40.50016608930859,2015-05-08,FALSE,Excluded (no letters),Excluded,9
1,54.10084801,28.25749048614461,11.59843559528647,1997-05-01,FALSE,Excluded (no letters),Excluded,6
1,49.82886934,20.552055205520553,22.42355605889015,2006-06-30,FALSE,Excluded (no letters),Excluded,7
1,55.36512794,30.668023686158403,17.362885341149312,2010-05-06,TRUE,Excluded (no letters),Excluded,5
1,65.53477318,33.25681794250816,10.98249826246288,2005-05-05,FALSE,Excluded (no letters),Excluded,6
1,52.5137019,1.5547308496072638,19.890105706635534,2010-05-06,FALSE,Excluded (no letters),Excluded,4
9,48.87086722,48.83350101558496,22.673743572731798,1997-05-01,FALSE,Excluded (no letters),Excluded,8
2,66.61279897,15.768180689997518,8.590431237931774,2015-05-08,TRUE,Excluded (no letters),Excluded,2
1,64.79315747999999,20.129831099356853,11.696005212166547,2010-05-06,FALSE,Excluded (no letters),Excluded,5
2,53.66703123999999,9.13303968436215,15.136182888416972,2017-06-09,FALSE,Excluded (no letters),Excluded,2
2,54.51175263,11.69837222984899,15.644447873270586,1997-05-01,FALSE,Excluded (no letters),Excluded,2
1,53.99247144,29.666988416988417,14.319190789968719,2015-05-08,FALSE,Excluded (no letters),Excluded,6
2,55.135971299999994,29.246676514032494,11.39236861051116,2001-06-07,TRUE,Excluded (no letters),Excluded,10
3,51.339391,6.61467266431507,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
1,53.16421306,1.0490233231129638,18.557388766454224,2010-05-06,FALSE,Excluded (no letters),Excluded,3
2,31.481770320000003,64.99686476694768,30.245698750202887,1982-10-28,FALSE,Included (letters sent),Included,7
1,58.41285279,3.254498926861483,10.74775644666591,2010-05-06,TRUE,Excluded (no letters),Excluded,9
2,26.225273100000003,22.63560625022348,41.00992855908864,2015-05-08,FALSE,Included (letters sent),Included,6
1,69.3543227,39.9181743112379,6.907085829424446,2010-05-06,TRUE,Excluded (no letters),Excluded,6
1,56.934097019999996,28.141457392445812,13.881266649307989,2005-05-05,TRUE,Excluded (no letters),Excluded,6
1,38.4889637,24.570266773458197,30.097274718788665,2015-05-08,FALSE,Excluded (no letters),Excluded,6
1,45.304818759999996,25.646804863337675,23.144534417332455,2015-05-08,TRUE,Excluded (no letters),Excluded,6
1,68.86035313,17.52799131016043,7.599934199703899,2015-05-08,FALSE,Excluded (no letters),Excluded,5
2,45.32740482,0.32922535211267606,20.43752784811502,2017-06-09,FALSE,Excluded (no letters),Excluded,8
2,32.014578449999995,42.59915277330493,26.477426473485792,2015-05-08,FALSE,Excluded (no letters),Excluded,10
2,39.14785439,8.023528507170044,25.939115132536127,2017-06-09,FALSE,Excluded (no letters),Excluded,10
2,42.81719786,29.296751813308102,21.17264602728872,2012-11-16,FALSE,Excluded (no letters),Excluded,10
